Section,Item,Statement,Guidance,Importance,Score,Response: ISO 27001,Response: DEA Security,Response: DEA Capability,
Information governance,1.2.8.,You must track and maintain any physical assets used by your TRE.,"All physical assets should be maintained and covered by warranty if applicable.
At the end of their lifetime, assets should be securely disposed of in such a way that data cannot be recovered from them.",Mandatory (where physical assets are in scope),2,"A.5.9: Inventory of information and other associated assets. An inventory of information and other associated assets, including owners, shall be developed and maintained.
A5.10: Acceptable use of information and other associated assets. Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.
A5.11: Return of assets. Personnel and other interested parties as appropriate shall return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement.
A7.8: Equipment siting and protection.Equipment shall be sited securely and protected.
A7.9: Security of assets off-premises. Off-site assets shall be protected.
A7.10: Storage media. Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.
A7.11: Supporting utilities.Information processing facilities shall be protected from power failures and other disruptions caused by failures in supporting utilities.
A7.12: Cabling security. Cables carrying power, data or supporting information services shall be protected from interception, interference or damage.
A7.13: Equipment maintenance. Equipment shall be maintained correctly to ensure availability, integrity and confidentiality of information.
A7.14: Secure disposal or re-use of equipment. Items of equipment containing storage media shall be verified to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal or re-use.
A8.1: User endpoint devices. Information stored on, processed by or accessible via user end point devices shall be protected.","E-1: Hardware, software, and data assets have been identified, documented and classified. Asset logs, inventories, registers, etc.

E-2: Hardware, software, and data asset registers/inventories are subject to periodic risk assessment. Copies of risk assessments, risk management policy or procedure. 

E-3: There are rules in place for the acceptable use of assets. Acceptable Use Policy.

E-4: There are procedures in place to ensure all employees (permanent and temporary staff) and third party users return all hardware assets upon termination of their employment, contract or agreement. Leaver procedure, evidence of hardware being tracked for collection.

E-5: There is a documented governance structure surrounding the use of removable media. Relevant policies or procedures, staff guidance. 

E-6: Media containing information is protected against unauthorised access, misuse or corruption during transportation. Relevant policies or procedures, incident logs, staff guidance. 
 
E-7: There are endpoint (port) controls in place to prevent unauthorised use of removeable media or the upload or download of unauthorised information. Relevant policies or procedures, staff guidance. 

E-8: Removeable media is disposed of securely when no longer required, using formal procedures. Relevant policies or procedures, evidence of disposal being tracked and controlled.

E-9: The destruction of hardware assets is controlled and tracked. Relevant policies or procedures, destruction log, certificates of disposal. 

K-2: The organisation has an awareness of the lifespan of current operating systems and software and has taken appropriate measures to mitigate any risks. Evidence that the organisation has an awareness of the end of life date for operating systems and software currently in use. Documented transition plans.",,
Information governance,1.2.9.,"You must log, track and resolve any issues resulting from deviations from processes, incidents and audit findings.","This process could, for example, be tracked through an electronic record and workflow system with records retained.",Mandatory,2,"Clause 6: Planning

A8.16: Monitoring Activities. Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.","I-5: Where appropriate, logging and monitoring is in place to record user activities, security events, and to generate evidence. Site visit. Screenshots of logs or of monitoring dashboards. Guidance or comms for staff relating to logging and monitoring. 

I-7: Network security management has been implemented to ensure the protection of information in networks and its supporting information processing facilities. Network Management and Network Security documentation, including details of internal or external firewalls, intrusion detection systems or methods, and VPN systems. 

M-1: Management and operational responsibilities are established and documented to ensure an efficient and effective response to information security incidents. Evidence of assigned responsibilities. 

M-2: There are effective processes in place to ensure that information security incidents are internally reported, assessed, classified, managed, recorded, and analysed as quickly as possible. Evidence the organisation has established incident management procedures, including communication and reporting that is endorsed by responsible management. 

M-3: Near misses and security events are recorded and assessed alongside full incidents. Incident log including near misses or events.

M-4: Analysis and resolution of security incidents is used to reduce the likelihood or impact of future incidents. Records of lessons learned analysis. ","C.1.2: Monitor research taking place in the processor’s environment, identify and report any significant deviation from accredited project conditions.
 
 Also partly covered by most other controls.",
Information governance,1.2.10.,"You must use reported issues to inform changes, such as for process improvement and risk management.",All issues should be analysed for their root cause and improvements put in place to prevent further occurrence.,Mandatory,2,Clause 6: Planning,"M-1: Management and operational responsibilities are established and documented to ensure an efficient and effective response to information security incidents. Evidence of assigned responsibilities. 

M-2: There are effective processes in place to ensure that information security incidents are internally reported, assessed, classified, managed, recorded, and analysed as quickly as possible. Evidence the organisation has established incident management procedures, including communication and reporting that is endorsed by responsible management. 

M-3: Near misses and security events are recorded and assessed alongside full incidents. Incident log including near misses or events.

M-4: Analysis and resolution of security incidents is used to reduce the likelihood or impact of future incidents. Records of lessons learned analysis. ",,
Information governance,1.2.11.,You should collect and maintain quality management data for measuring the effectiveness of a TRE.,"Large amounts of data will be produced by elements within the TRE.
These data should be analysed with reports and dashboards provided to guide TRE implementer’s improvements and provide re-assurance to data consumers and data subjects.",Recommended,2,A9.1: The organisation shall evaluate the information security performance and the effectiveness of the information security management system.,,"C.4.1. Publicly provide information the functions and services provided, including accessibility and performance information regarding these services. 
 
 Use of management information is one component of the maturity assessment for most other controls.",
Information governance,1.2.12.,"You could use a QMS (Quality Management System) to standardise and automate quality management tasks and workflows, and to generate quality data and reports automatically.","A basic QMS could be a set of spreadsheets or documents held in a repository which are manually maintained.
More mature applications will provide workflows and generate quality data through manual and automated actions.",Optional,1,,,,
Information governance,1.3.1.,You must have a way to score risk to understand the underlying severity.,You have a risk assessment methodology for scoring risks on multiple axes such as impact and likelihood.,Mandatory,2,Clause 6: Planning,"C-7: The organisation has effective and documented risk management practices in place, including regular review of risk ratings and control effectiveness. Evidence of risk assessment, risk logs or registers, risk reviews, etc. ",,
Information governance,1.3.2.,You must carry out a data processing assessment for all projects requiring a TRE.,"A data processing assessment is a process designed to identify risks arising out of the processing of sensitive data and to minimise these risks as far and as early as possible.
This may take the form of an existing regulatory requirements such as Data Protection Impact Assessment.",Mandatory,2,,"O-5: The organisation has an effective, documented, and fully compliant Data Protection Impact Assessment process in place.","Partly covered by a combination of:
 C.1.1. Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment. 
 
 C.1.5: Ethical frameworks in place for all DEA accredited projects and all ethics processes in the processor’s environment remain transparent and auditable.
 
 C.2.8. The processor clearly specifies data ownership in their environment, including 
 the ownership of research outputs. 
 
 C.2.10 Auditable systems and practices to ensure that access to proportionate data provided (data minimisation)",
Information governance,1.3.3.,"You must have a process for designing, implementing and recording risk mitigations where indicated by a risk assessment.",Actions that are taken or not taken following a risk assessment must be recorded.,Mandatory,2,Clause 6: Planning,"C-7: The organisation has effective and documented risk management practices in place, including regular review of risk ratings and control effectiveness. Evidence of risk assessment, risk logs or registers, risk reviews, etc. ",,
Information governance,1.3.4.,You must have a clear set of roles and responsibilities relating to risk including who owns risks and how they are escalated and delegated.,"The highest level of risk ownership is the Top Management of the TRE organisation (see Governance Roles).
In order to ensure escalations to this level are rare, suitable structures should be put in place to own, mitigate and accept risk.",Mandatory,2,Clause 6: Planning,"C-7: The organisation has effective and documented risk management practices in place, including regular review of risk ratings and control effectiveness. Evidence of risk assessment, risk logs or registers, risk reviews, etc. ",,
Information governance,1.3.5.,You must understand the risk appetite of your TRE organisation.,"This includes understanding ownership of risk, and ability to accept risk which falls outside of the appetite should that become necessary.",Mandatory,2,Clause 6: Planning,"C-7: The organisation has effective and documented risk management practices in place, including regular review of risk ratings and control effectiveness. Evidence of risk assessment, risk logs or registers, risk reviews, etc. ",,
Information governance,1.4.1.,"You must have checks in place to ensure a project has the legal, financial and ethical requirements in place for the duration of the project.","This includes checks that contracts are in place where required, adequate funding is available for the duration of the project, and responsibilities concerning data handling are understood by all parties.",Mandatory,2,A5.8: Information security in project management. Information security shall be integrated into project management.,,"C.1.1. Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment.
 
 C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.1.5 Ethical frameworks in place for all DEA accredited projects and all ethics 
 processes in the processor’s environment remain transparent and auditable.",
Information governance,1.4.2.,You must have checks in place to ensure that any time limited compliance requirements are maintained.,"This includes ensuring contracts remain in valid and action is promptly taken should they expire.
Any changes in the status of responsible persons should also be monitored, for example a data owner leaving an organisation.",Mandatory,2,A5.8: Information security in project management. Information security shall be integrated into project management.,,"Partly covered by a combination of 
 C.1.1. Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment. 
 
 C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.2.1. Maintain clear and consistent records of legal agreements that outline how data is accessed, processed, and used in the environment. 
 
 C.2.6. Policies and evidenced procedures for the retention of all different data 
 instances.",
Information governance,1.4.3.,You must have checks in place to ensure that changes in regulations are met for a project.,,Mandatory,2,A5.8: Information security in project management. Information security shall be integrated into project management.,,,
Information governance,1.4.4.,"You must have standard processes in place for the end of a project, that follow all legal requirements and data security best practice.",This includes the archiving of quality and log data along with the archiving or deletion of data sets.,Mandatory,2,A5.8: Information security in project management. Information security shall be integrated into project management.,,"C.1.4. Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey. 
 
 C.2.6. Policies and evidenced procedures for the retention of all different data instances.",
Information governance,1.4.5.,You could implement a portal that can provide a workflow engine and database which automates the processes within this capability.,"A portal should automate as much of the processes within the capability as possible.
Where processes are automated, process maturity is easier to achieve, with more consistent completion and automatic production of quality control and monitoring data.",Optional,1,,,,
Information governance,1.4.6.,You must keep a complete record of all the data assets held within the system.,"Details of all data assets (current and past) held by the system should be retained along with meta-data useful for ensuring compliance can be demonstrated.
This would include ownership, data lifecycle, contracts, risk assessments and other quality data.
This is likely to already exist within the wider organisation but may require augmenting for the TRE.",Mandatory,2,,"E-1: Hardware, software, and data assets have been identified, documented and classified. Asset logs, inventories, registers, etc.

E-2: Hardware, software, and data asset registers/inventories are subject to periodic risk assessment. Copies of risk assessments, risk management policy or procedure. ","C.1.1: Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment. 
 
 C.2.2: Evidenced and appropriate procedures to manage data, metadata, and code in the environment.
 
 C.2.7: Clear records of all data in the environment. This includes open data, geography lookups and data extracts.
 
 C.2.8: The processor clearly specifies data ownership in their environment, including the ownership of research outputs.
 
 C.5.4: Share records of the data available in the processors’ environment under the DEA.",
Information governance,1.4.7.,You should keep a complete record of all the research studies and projects within the TRE current and past.,"The study register should contain all data related to a study including a reference to data assets, project team members, information asset owners and any compliance activities required.",Recommended,2,,"E-1: Hardware, software, and data assets have been identified, documented and classified. Asset logs, inventories, registers, etc.

E-2: Hardware, software, and data asset registers/inventories are subject to periodic risk assessment. Copies of risk assessments, risk management policy or procedure. ","C.1.1: Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment.",
Information governance,1.5.1.,"You must have a robust method for identifying accredited members of your TRE organisation, prior to their accessing of sensitive data.",This may include ID checks or email/phone verification.,Mandatory,2,A5.16: Indentity Management. The full life cycle of identities shall be managed.,"F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. ","C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.4.4: Processor maintains clear and consistent records of all service users, including researchers’ accreditation and training.",
Information governance,1.5.2.,You must have clear onboarding processes in place for all roles within your TRE organisation.,This may include all members signing role-specific terms of use or confirming that they have completed role specific training.,Mandatory,2,"A6.1: Screening. Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.

A6.2: Terms and conditions of employment. The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.

A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.

A6.4: Disciplinary process. A disciplinary process shall be formalized and communicated to take actions against personnel and other relevant interested parties who have committed an information security policy violation.

A6.5: Responsibilities after termination or change of employment. Information security responsibilities and duties that remain valid after termination or change of employment shall be defined, enforced and communicated to relevant personnel and other interested parties.

A6.6: Confidentiality or non-disclosure agreements. Confidentiality or non-disclosure agreements reflecting the organization’s needs for the protection of information shall be identified, documented, regularly reviewed and signed by personnel and other relevant interested parties.","D-1: Employee contracts are in place and include clauses relevant to information security. Copy of employment contracts.

D-2: Education and skill requirements for new hires, related to information security, are determined in advance by staff with sufficient information security knowledge and understanding, and are approved by appropriate senior staff. Evidence of process for determining and approving education and skill requirements, including evidence of sign off by senior staff such as emails or minutes. 

D-3: Prior to employment beginning, appropriate background checks and/or security vetting is performed on all employees or contractors. Evidence of background checks or vetting. 

D-4: Disciplinary procedures are in place and are sufficient to handle information security related misconduct or breaches. Evidence of disciplinary processes, procedures, or policies. 

D-5: Documented processes are in place to handle information security issues relating to the termination or alteration of employment. 

J-1: Formal transfer policies, procedures and controls are in place across all communication facilities, including electronic messaging. 

J-2: Agreements covering secure transfer are in place between the organisation and external parties.

J-3: Requirements for confidentiality or non-disclosure agreements are identified, regularly reviewed and documented.","C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.3.1: Demonstrate that staff have the relevant skills and/or experience, security clearance, training, and support to provision all functions of the processor in line with relevant policies. Evidence of ongoing assessment and development of staff.
 
 C.4.4: Processor maintains clear and consistent records of all service users, including researchers’ accreditation and training.",
Information governance,1.5.3.,You must have a set of services to manage access to resources based on identity.,This will include a security model for role based access with technical controls to ensure the principle of least privilege is enforced.,Mandatory,2,"A8.2: Privileged access rights. The allocation and use of privileged access rights shall be restricted and managed.
A8.3:Information access restriction. Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. ",,
Information governance,1.5.4.,You must not give anyone access to datasets without agreement from the Data Controller.,The Data Controller may choose to delegate this authority.,Mandatory,2,"A5.15: Access Control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.
A5.18: Access rights. Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization’s topic-specific policy on and rules for access control.","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. ","C.1.1. Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment. 
 
 C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.2.1. Maintain clear and consistent records of legal agreements that outline how data is accessed, processed, and used in the environment.
 
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code in the environment.",
Information governance,1.5.5.,You must have robust and secure applications in place to authenticate users (and services) within the TRE.,"The number of authentication applications should be kept to a minimum with common controls and standards applied across all such as MFA, password complexity *etc.*.",Mandatory,2,"A5.17: Authentication information. Allocation and management of authentication information shall be controlled by a management process, including advising personnel on appropriate handling of authentication information.
A8.5: Secure authentication. Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.","F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. ",,
