Section,Item,Statement,Guidance,Importance,Score,Response,Improvements
Information governance,1.2.8.,You must track and maintain any physical assets used by your TRE.,"All physical assets should be maintained and covered by warranty if applicable.
At the end of their lifetime, assets should be securely disposed of in such a way that data cannot be recovered from them.",Mandatory (where physical assets are in scope),2,"ISO 27001
A.5.9: Inventory of information and other associated assets. An inventory of information and other associated assets, including owners, shall be developed and maintained.
A5.10: Acceptable use of information and other associated assets. Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.
A5.11: Return of assets. Personnel and other interested parties as appropriate shall return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement.
A7.8: Equipment siting and protection.Equipment shall be sited securely and protected.
A7.9: Security of assets off-premises. Off-site assets shall be protected.
A7.10: Storage media. Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.
A7.11: Supporting utilities.Information processing facilities shall be protected from power failures and other disruptions caused by failures in supporting utilities.
A7.12: Cabling security. Cables carrying power, data or supporting information services shall be protected from interception, interference or damage.
A7.13: Equipment maintenance. Equipment shall be maintained correctly to ensure availability, integrity and confidentiality of information.
A7.14: Secure disposal or re-use of equipment. Items of equipment containing storage media shall be verified to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal or re-use.
A8.1: User endpoint devices. Information stored on, processed by or accessible via user end point devices shall be protected.

DSPToolkit
A3a, B2b
Asset Management
Device Management",
Information governance,1.2.9.,"You must log, track and resolve any issues resulting from deviations from processes, incidents and audit findings.","This process could, for example, be tracked through an electronic record and workflow system with records retained.",Mandatory,2,"ISO 27001
Clause 6: Planning
A8.16: Monitoring Activities. Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.

DSPToolkit
C1b,  C1c, C1d, C1e, C2a, C2b
Securing logs
Generating Alerts
Identifying Security incidents
Monitoring Tools and Skills
System abnormalities for attack detection
Proactive attack discovery",
Information governance,1.2.10.,"You must use reported issues to inform changes, such as for process improvement and risk management.",All issues should be analysed for their root cause and improvements put in place to prevent further occurrence.,Mandatory,2,"ISO 27001
Clause 6: Planning

DSPToolkit
D2a, D2b
Incident Root Cause Analysis
Using Incidents and near misses to drive improvements",
Information governance,1.2.11.,You should collect and maintain quality management data for measuring the effectiveness of a TRE.,"Large amounts of data will be produced by elements within the TRE.
These data should be analysed with reports and dashboards provided to guide TRE implementer’s improvements and provide re-assurance to data consumers and data subjects.",Recommended,2,"ISO 27001
A9.1: The organisation shall evaluate the information security performance and the effectiveness of the information security management system.",
Information governance,1.2.12.,"You could use a QMS (Quality Management System) to standardise and automate quality management tasks and workflows, and to generate quality data and reports automatically.","A basic QMS could be a set of spreadsheets or documents held in a repository which are manually maintained.
More mature applications will provide workflows and generate quality data through manual and automated actions.",Optional,2,"ISO 27001, Scottish Safe Haven charter, DSPT",
Information governance,1.3.1.,You must have a way to score risk to understand the underlying severity.,You have a risk assessment methodology for scoring risks on multiple axes such as impact and likelihood.,Mandatory,2,"ISO 27001
Clause 6: Planning

Scottish Safe Haven charter

DSPToolkit
A2a
Risk Management Processes",
Information governance,1.3.2.,You must carry out a data processing assessment for all projects requiring a TRE.,"A data processing assessment is a process designed to identify risks arising out of the processing of sensitive data and to minimise these risks as far and as early as possible.
This may take the form of an existing regulatory requirements such as Data Protection Impact Assessment.",Mandatory,2,"DPIA's

DSPToolkit
A4a
Supply chain",
Information governance,1.3.3.,"You must have a process for designing, implementing and recording risk mitigations where indicated by a risk assessment.",Actions that are taken or not taken following a risk assessment must be recorded.,Mandatory,2,"ISO 27001
Clause 6: Planning

Scottish Safe Haven charter

DSPToolkit
A2a
Risk Management Process",
Information governance,1.3.4.,You must have a clear set of roles and responsibilities relating to risk including who owns risks and how they are escalated and delegated.,"The highest level of risk ownership is the Top Management of the TRE organisation (see Governance Roles).
In order to ensure escalations to this level are rare, suitable structures should be put in place to own, mitigate and accept risk.",Mandatory,2,"ISO 27001
Clause 6: Planning

DSPToolkit
A1a, A1b
Board Direction
Roles and Responsibilities",
Information governance,1.3.5.,You must understand the risk appetite of your TRE organisation.,"This includes understanding ownership of risk, and ability to accept risk which falls outside of the appetite should that become necessary.",Mandatory,2,"ISO 27001
Clause 6: Planning

DSPToolkit
A2a
Risk Management Process
",
Information governance,1.4.1.,"You must have checks in place to ensure a project has the legal, financial and ethical requirements in place for the duration of the project.","This includes checks that contracts are in place where required, adequate funding is available for the duration of the project, and responsibilities concerning data handling are understood by all parties.",Mandatory,2,"ISO 27001
A5.8: Information security in project management. Information security shall be integrated into project management.",
Information governance,1.4.2.,You must have checks in place to ensure that any time limited compliance requirements are maintained.,"This includes ensuring contracts remain in valid and action is promptly taken should they expire.
Any changes in the status of responsible persons should also be monitored, for example a data owner leaving an organisation.",Mandatory,2,"ISO 27001
A5.8: Information security in project management. Information security shall be integrated into project management.",
Information governance,1.4.3.,You must have checks in place to ensure that changes in regulations are met for a project.,,Mandatory,2,"ISO 27001
A5.8: Information security in project management. Information security shall be integrated into project management.",
Information governance,1.4.4.,"You must have standard processes in place for the end of a project, that follow all legal requirements and data security best practice.",This includes the archiving of quality and log data along with the archiving or deletion of data sets.,Mandatory,2,"ISO 27001
A5.8: Information security in project management. Information security shall be integrated into project management.",
Information governance,1.4.5.,You could implement a portal that can provide a workflow engine and database which automates the processes within this capability.,"A portal should automate as much of the processes within the capability as possible.
Where processes are automated, process maturity is easier to achieve, with more consistent completion and automatic production of quality control and monitoring data.",Optional,2,"Implemented ISMS that abides by ISO 27001, DSPToolkit and Safe Haven Charter",
Information governance,1.4.6.,You must keep a complete record of all the data assets held within the system.,"Details of all data assets (current and past) held by the system should be retained along with meta-data useful for ensuring compliance can be demonstrated.
This would include ownership, data lifecycle, contracts, risk assessments and other quality data.
This is likely to already exist within the wider organisation but may require augmenting for the TRE.",Mandatory,2,"DSPToolkit
A3a
Asset Management",
Information governance,1.4.7.,You should keep a complete record of all the research studies and projects within the TRE current and past.,"The study register should contain all data related to a study including a reference to data assets, project team members, information asset owners and any compliance activities required.",Recommended,2,"DSPToolkit
E4a
Managing Records",
Information governance,1.5.1.,"You must have a robust method for identifying accredited members of your TRE organisation, prior to their accessing of sensitive data.",This may include ID checks or email/phone verification.,Mandatory,2,"ISO 27001
A5.16: Indentity Management. The full life cycle of identities shall be managed.

DSPToolkit
B2a, B2d
Identity verification and authorisation
Identity and Access Management",
Information governance,1.5.2.,You must have clear onboarding processes in place for all roles within your TRE organisation.,This may include all members signing role-specific terms of use or confirming that they have completed role specific training.,Mandatory,2,"ISO 27001
A6.1: Screening. Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.
A6.2: Terms and conditions of employment. The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
A6.4: Disciplinary process. A disciplinary process shall be formalized and communicated to take actions against personnel and other relevant interested parties who have committed an information security policy violation.
A6.5: Responsibilities after termination or change of employment. Information security responsibilities and duties that remain valid after termination or change of employment shall be defined, enforced and communicated to relevant personnel and other interested parties.
A6.6: Confidentiality or non-disclosure agreements. Confidentiality or non-disclosure agreements reflecting the organization’s needs for the protection of information shall be identified, documented, regularly reviewed and signed by personnel and other relevant interested parties.

DSPToolkit
B2A, B2d
Identity verification and authorisation
Identity and Access Management",
Information governance,1.5.3.,You must have a set of services to manage access to resources based on identity.,This will include a security model for role based access with technical controls to ensure the principle of least privilege is enforced.,Mandatory,2,"ISO 27001
A8.2: Privileged access rights. The allocation and use of privileged access rights shall be restricted and managed.
A8.3:Information access restriction. Access to information and other associated assets shall be restricted in accordance with the established topic-specific policy on access control.

DSPToolkit
B2A, B2d
Identity verification and authorisation
Identity and Access Management",
Information governance,1.5.4.,You must not give anyone access to datasets without agreement from the Data Controller.,The Data Controller may choose to delegate this authority.,Mandatory,2,"ISO 27001
A5.15: Access Control. Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.
A5.18: Access rights. Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization’s topic-specific policy on and rules for access control.

Scottish Safe Haven charter

DSPToolkit
A3a. B2a, B2d
Asset Manaement
Identity verification and authorisation
Identity and Access Management",
Information governance,1.5.5.,You must have robust and secure applications in place to authenticate users (and services) within the TRE.,"The number of authentication applications should be kept to a minimum with common controls and standards applied across all such as MFA, password complexity *etc.*.",Mandatory,2,"ISO 27001
A5.17: Authentication information. Allocation and management of authentication information shall be controlled by a management process, including advising personnel on appropriate handling of authentication information.
A8.5: Secure authentication. Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.

DSPToolkit
A3A, B2A, B2D
Assest Management
Identity verification and aurhorisation
Identity and acesss management",
Information governance,1.5.6.,You must give each user of the TRE a unique logon with changes to any records strictly controlled.,"The unique identifier and all associated records for a user should be traceable across the entire TRE.
This will include training records, affiliations, contract agreements and ethics approvals where required.",Mandatory,2,"DSPToolkit
A3A, B2A, B2D
Assest Management
Identity verification and aurhorisation
Identity and acesss management",
Information governance,1.6.1.,You must determine what training is relevant for all roles within the TRE organisation.,"This may include, for instance, cyber security training, GDPR training, and higher level training for system operators.
Specialised roles are likely to need more tailored training.
Identification of these specialities should be done through a systematic training needs analysis.
Specific training may also be required based on the data or information asset owner such as GCP.",Mandatory,2,"ISO 27001
A6.2: Terms and conditions of employment. The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)

DSPToolkit
B6b
Training",
Information governance,1.6.2.,You must ensure that relevant training is available for all roles within the TRE organisation.,"All TRE organisation members need to complete all relevant training and keep their training current.
You may need to provide help or guidance to enable them to do so.
Details of what training is needed will have been determined above.",Mandatory,2,"ISO 27001
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)

DSPToolkit
B6b
Training",
Information governance,1.6.3.,You must provide repeat or updated training where necessary to account for changes in competency requirements.,"Training is not a one-off event.
Electronic reminders for refresher training should be considered.
Ideally, training should remain relevant and so policies and processes should enable people to demonstrate competency rather than unnecessarily repeating training.",Mandatory,2,"ISO 27001
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)

DSPToolkit
B6b
Training",
Information governance,1.6.4.,You must maintain accurate training records that are directly tied to the role and access levels within the TRE.,"Training records should be tied to a user record and carefully maintained.
Maintaining training records enables you to ensure all people have completed the required training and that repeat training happens regularly.",Mandatory,2,"ISO 27001
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)

DSPToolkit
B6b
Training",
Information governance,1.6.5.,You should accept proof of relevant training certifications from trusted third parties.,You might choose to trust certifications provided by known training providers or your institution’s partner organisations.,Recommended,2,"ISO 27001
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)

DSPToolkit
B6b
Training",
Information governance,1.6.6.,You could have a training platform capable of delivering online training in a variety of formats.,"This could be a simple content delivery platform or a more comprehensive LMS platform.
It could also include a range of multimedia delivery formats, and accessible training modules for those with access requirements.",Optional,1,Internal Staff Training SharePoint Site,Build on TRE Knowledge Base for users to create short byte size training videos
Information governance,1.6.7.,You could implement a learning management system (LMS) to manage courses and deliver training as required.,Where possible an LMS should support a variety of course content and testing.,Optional,2,"ISO 27001
A.6.3 – Information security awareness, education and training
Persons of the organisation and relevant interested parties shall receive appropriate information security awareness, education and training and shall be updated as necessary to respond to changes in information security requirements relevant to their job function


",
Information governance,1.6.8.,"You could ensure that any courses you use are available in standard, transferable formats.","Support for standard formats such as SCORM allows courses to be shared between providers.
This could help facilitate standardisation of training provision for TRE users across organisations.",Optional,0,,Currently in discussion with HDR-UK to see how we can utlise their training platform
Information governance,1.6.9.,You could keep historical copies of courses in order to demonstrate competency at a given point in time.,"Information asset owners and regulators may be required to audit historical records, *e.g.* for clinical trials.
It may be necessary to retain copies of superseded training along with versions of certifications within the training record.",Optional,2,"ISO 27001
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)

DSPToolkit
E4a
Managing Records",
Computing technology and Information Security,2.1.1.,You must not allow users to copy data out of your TRE via the system clipboard.,"A TRE user must not be able to copy sensitive data out of a workspace using the system clipboard.
A TRE may allow user to paste text into a workspace.
This might not be relevant to your TRE, for example if your user interface does not have a clipboard.",Mandatory,2,"ISO 27001
A8.12: Data leakage prevention. Data leakage prevention measures shall be applied to systems, networks and any other devices that process, store or transmit sensitive information.",
Computing technology and Information Security,2.1.2.,Your TRE workspace should provide an environment familiar to your users.,"This may take the form of a virtual Windows or Linux desktops, non-desktop interfaces such as JupyterLab and other web applications, or a terminal.
Bespoke TRE-specific software should be avoided when widely used alternatives already exist.",Recommended,2,"Windows and Linux desktops, typical software or equivalent available",
Computing technology and Information Security,2.1.3.,A TRE could restrict data access from data consumers entirely and provide an interface for submitting code.,"For example, you might use a system where users submit jobs that run over the data and return results without allowing direct data access.",Optional,0,Desktop TRE,Not planned
Computing technology and Information Security,2.1.4.,Your TRE should be accessed via a user interface accessible using commonly available applications.,"TREs which allow users to connect from their own devices should not require the installation of any bespoke TRE application on the user’s device.
In practice a web browser is the most common way to achieve this.",Recommended,2,Web browser,
Computing technology and Information Security,2.1.5.,Your TRE must provide clear guidance on how to use software tools and work with data in the TRE.,"TREs that provide a virtual desktop environment for data consumers to work in should provide documentation detailing the available tools.
TREs where the analysis code is developed on the access machine (as oppose to within the TRE) should provide documentation detailing the mechanism by which code is submitted to the TRE.",Mandatory,1,HIC have an open Knowledge Base for users detailing available tools,
Computing technology and Information Security,2.1.6.,"Your TRE should, where possible, automatically apply security related updates for user software.",Reducing the risk of exploitable vulnerabilities in installed software will increase the security of your TRE.,Recommended,2,"ISO 27001
A8.15: Logging. Logs that record activities, exceptions, faults and other relevant events shall be produced, stored, protected and analysed.
A8.16: Monitoring Activities. Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.
A8.7: Protection against malware. Protection against malware shall be implemented and supported by appropriate user awareness.
A8.8: Management of technical vulnerabilities. Information about technical vulnerabilities of information systems in use shall be obtained, the organisation’s exposure to such vulnerabilities shall be evaluated and appropriate measures shall be taken.
A8.9: Configuration management. Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.",
Computing technology and Information Security,2.1.7.,Your TRE could provide shared services that are accessible to users in the same project.,"This may include shared file storage, databases, collaborative writing, and other web applications.
This must only be shared amongst users within the same project.",Optional,1,We have some shared services e.g. MSSQL server,
Computing technology and Information Security,2.1.8,Your TRE must ensure that any shared services are only available to users working on the same project.,"Poorly designed shared services could enable the unintended mixing of data between projects.
To prevent this it is necessary that each instance is only shared between users of a single project.",Mandatory,2,User access controls on shared services,
Computing technology and Information Security,2.1.9.,You must mitigate and record any risks introduced by the use in your TRE of software that requires telemetry to function.,"For example, some licenced commercial software must contact an external licensing server at start-up.
You must be confident that only licensing information is sent to this server and that any network connections are secure.",Mandatory,1,Recording of inputs into TRE,Improvements in the pipeline
Computing technology and Information Security,2.1.10.,Your TRE must provide software applications that are relevant to working with the data in the TRE.,"The tools provided will depend on the types of data in the TRE, and the expectations of users of the TRE.
For users working in a TRE via a virtual desktop, this may include programming languages such as Python and R, integrated development environments, Jupyter notebooks, office type applications such as word processors and spreadsheets, command line tools, etc.
TREs with non-desktop interfaces should similarly consider carefully which applications are best suited for the data consumers needs when interacting with the data, for example “point and click” GUI tools for querying a database and generating plots of data.
The set of tools should be reviewed regularly to ensure they are up to date.",Mandatory,2,"We provide requested open-source packages, and commercial applications where licensed",
Computing technology and Information Security,2.1.11.,Your TRE should provide tools to encourage best-practice in reproducibly analysing data.,"Reproducibility of analyses improves auditability and accountability of how data has been used, as well as being best-practice in research.
This may include version control software, and tools for developing and running data analysis pipelines.",Recommended,2,"R, Python, and standard libraries are available",
Computing technology and Information Security,2.1.12.,Your TRE could provide access to some public software repositories or container registries.,"For example, a TRE may allow direct installation of packages from Python or R repositories, or provide an internal mirror.",Optional,1,We provide limited access to some package repositories,Should improve allow/deny-listing capabilities
Computing technology and Information Security,2.1.13.,Your TRE could tightly control which packages are available.,"For example, a TRE may only allow installation of a pre-defined set of approved packages.
You might also choose to scan for malicious packages and/or go through an approval process before allowing code into the technical environment.",Optional,1,We limit which package repositories can be accessed,Should improve allow/deny-listing capabilities
Computing technology and Information Security,2.1.14.,Your TRE must maintain segregation of users and data from different projects when using non-standard compute.,"High performance or specialist compute is often shared amongst multiple users.
Users and data must remain segregated at all times.
For example, when using physical compute resources, all sensitive data could be securely wiped before another user is given access to that same node.
In a cloud hosted TRE virtual machines could be destroyed and recreated.",Mandatory,2,"ISO 27001
A5.3: Segregation of Duties. Conflicting duties and conflicting areas of responsibilities shall be segregated.",
Computing technology and Information Security,2.1.15.,Your TRE should be able to provide access to high performance computing or other scalable compute resource if required by users.,"If a TRE supports users conducting computationally intensive research it should provide access to dynamically scalable compute or the equivalent.
For example this may be in the form of a batch scheduler on a HPC cluster, or a dynamically created compute nodes on a cloud platform.",Recommended,2,Available where required and funded,
Computing technology and Information Security,2.1.16.,Your TRE should be able to provide access to accelerators such as GPUs if required by users.,"GPUs and other accelerators are commonly used in machine learning and other computationally intensive research.
TREs should make it clear to users whether GPUs and other resources are available whilst projects are being assessed.",Recommended,2,Available where required and funded,
Computing technology and Information Security,2.1.17.,"Your TRE could make data available to data consumers using common database systems such as PostgreSQL, MSSQL or MongoDB.","Databases must be secured and only accessible to users within the same project.
If shared (multi-tenant) database servers are used, database administrators must ensure that the database server enforces segregation of users and databases belonging to different projects.",Optional,2,MSSQL is required by many users,
Computing technology and Information Security,2.1.18.,Your TRE could integrate with large-scale data analytics tools for working with large datasets.,"For example, Spark and Hadoop can be used for distributed computing across a cluster.
This may be an advantage where a TRE is using an amount of data that is too large for single-machine computing to be practical.",Optional,1,Offer HPC ,
Computing technology and Information Security,2.2.1.,You must have a documented procedure for deploying infrastructure.,"This might, for instance, be a handbook that is followed or a set of automated scripts.",Mandatory,2,"ISO 27001
A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them.",
Computing technology and Information Security,2.2.2.,"You should, where possible, automate any repeatable aspects of your deployment.",This might involve using infrastructure-as-code tools or a series of scripts.,Recommended,2,GitHub workflows,
Computing technology and Information Security,2.2.3.,You must have a documented procedure for making changes to deployed infrastructure.,"This refers both to changes that might be expected in the course of normal operation and emergency changes that might be needed.
Your change management process may form part of a wider accreditation such as ISO 27001.",Mandatory,2,"ISO 27001
A8.32: Change management: Changes to information processing facilities and information systems shall be subject to change management procedures.",
Computing technology and Information Security,2.2.4.,You must test changes before they are used in production.,This might involve a separate development environment or another system for testing.,Mandatory,2,We have a staging TRE,
Computing technology and Information Security,2.2.5.,You should have a development environment that mirrors your production environment which you use to test infrastructure changes before committing them to production.,"If possible, you should automate application of changes between development and production environments.
Consider the costs and practicality of whether this will work for your situation.",Recommended,2,"We have a staging TRE, and can deploy additional dev TREs when required",
Computing technology and Information Security,2.2.6.,You must have a documented procedure for removing infrastructure when it is no longer needed.,Removing unused infrastructure not only reduces costs and management burden but also reduces the attack surface of a TRE and reduces the risk of unaddressed vulnerabilities.,Mandatory,2,"ISO 27001
A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them.
A7.10: Storage Media. Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.

Scottish Safe Haven charter",
Computing technology and Information Security,2.2.7.,You should understand the availability and uptime guarantees of any providers that you rely on.,"For remote TREs this might include your cloud provider(s) and/or data centre operators.
For on-premises TREs, it might be worth using an uninterruptable power supply (UPS) and planning how you would deal with internet outages.",Recommended,1,AWS Enterprise Agreement,
Computing technology and Information Security,2.2.8.,You should develop an availability target or statement and share this with your users.,Understanding how and when the TRE might be unavailable will help your projects in planning their work.,Recommended,1,TRE Newsletter / Email,
Computing technology and Information Security,2.2.9.,Your TRE must control and manage all of its network infrastructure in order to protect information in systems and applications.,"Network infrastructure must prevent unauthorised access to resources on the network.
This may include firewalls, network segmentation, and restricting connections to the network.",Mandatory,2,"ISO 27001
A8.20: Networks security. Networks and network devices shall be secured, managed and controlled to protect information in systems and applications.
A8.21: Security of network services. Security mechanisms, service levels and service requirements of network services shall be identified, implemented and monitored.",
Computing technology and Information Security,2.2.10.,"Your TRE must not allow connectivity between users in different projects, or with access to different datasets.","Connectivity between users in the same project may be allowed, for example to support shared network services within the project.",Mandatory,2,Enforced by TRE,
Computing technology and Information Security,2.2.11.,Your TRE must block outbound connections to the internet by default.,Limited outbound connectivity may be allowed for some services.,Mandatory,2,"Enforced by TRE

ISO 27001
A8.23: Web Filtering. Access to external websites shall be managed to reduce exposure to malicious content.",
Computing technology and Information Security,2.2.12.,You should be able to monitor the network configuration of your TRE to check for misconfigurations and vulnerabilities.,"This may include regular vulnerability scanning, and penetration testing.",Recommended,2,"ISO 27001
A8.8: Management of technical vulnerabilities. Information about technical vulnerabilities of information systems in use shall be obtained, the organisation’s exposure to such vulnerabilities shall be evaluated and appropriate measures shall be taken.",
Computing technology and Information Security,2.2.13.,You should regularly monitor the network configuration of your TRE to check for misconfigurations and vulnerabilities.,This will involve following the monitoring procedure detailed above.,Recommended,2,"ISO 27001
A8.16: Monitoring Activities. Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.",
Computing technology and Information Security,2.2.14.,Your TRE must record usage data.,"This may include the number of users, number of projects, the amount of data stored, number of datasets, the number of workspaces, etc.",Mandatory,2,HIC monitor this via Asset register,
Computing technology and Information Security,2.2.15.,"Your TRE should record which datasets are accessed, when and by who.",This helps maintain auditability of how sensitive data has been used.,Recommended,1,"ISO 27001
Asset Management",Can be improved with realtime logging
Computing technology and Information Security,2.2.16.,Your TRE should record computational resource usage at the user or aggregate level.,"This is useful for optimising allocation of resources, and managing costs.",Recommended,1,,Looking to implement dashboarding to improve
Computing technology and Information Security,2.3.1.,You must ensure that all projects understand what resources are available and what the associated costs will be before the project starts.,"For on-premises systems this might be related to the available hardware, for cloud-based systems there might be limits on how many instances of a particular resource (*e.g.* GPUs) can be used
Projects should use this information to understand whether the available resources will be sufficient for their requirements.",Mandatory,1,"We work closely with projects to help them refine their requirements, ensuring our quotes accurately reflect their needs",
