Section,Item,Statement,Guidance,Importance,Score,Response,Improvements
Information governance,1.6.1.,You must determine what training is relevant for all roles within the TRE organisation.,"This may include, for instance, cyber security training, GDPR training, and higher level training for system operators.
Specialised roles are likely to need more tailored training.
Identification of these specialities should be done through a systematic training needs analysis.
Specific training may also be required based on the data or information asset owner such as GCP.",Mandatory,1,"Training plan for all roles is being generated.  Members of the SDE team are requried to undertake mandatory CUH training, including around GDPR. ",
Information governance,1.6.2.,You must ensure that relevant training is available for all roles within the TRE organisation.,"All TRE organisation members need to complete all relevant training and keep their training current.
You may need to provide help or guidance to enable them to do so.
Details of what training is needed will have been determined above.",Mandatory,2,CUH mandatory training is available and recorded through DOT. ,
Information governance,1.6.3.,You must provide repeat or updated training where necessary to account for changes in competency requirements.,"Training is not a one-off event.
Electronic reminders for refresher training should be considered.
Ideally, training should remain relevant and so policies and processes should enable people to demonstrate competency rather than unnecessarily repeating training.",Mandatory,1,CUH mandatory training must be repeated at Trust defined intervals (e.g. annually),
Information governance,1.6.4.,You must maintain accurate training records that are directly tied to the role and access levels within the TRE.,"Training records should be tied to a user record and carefully maintained.
Maintaining training records enables you to ensure all people have completed the required training and that repeat training happens regularly.",Mandatory,2,CUH mandatory training is available and recorded through DOT. ,
Information governance,1.6.5.,You should accept proof of relevant training certifications from trusted third parties.,You might choose to trust certifications provided by known training providers or your institution’s partner organisations.,Recommended,1,"In additition to CUH mandatory training, we aso accept training from trusted third parties (e.g. MRC GDPR coruse). ",
Information governance,1.6.6.,You could have a training platform capable of delivering online training in a variety of formats.,"This could be a simple content delivery platform or a more comprehensive LMS platform.
It could also include a range of multimedia delivery formats, and accessible training modules for those with access requirements.",Optional,1,DOT is used to track CUH mandatory training,
Information governance,1.6.7.,You could implement a learning management system (LMS) to manage courses and deliver training as required.,Where possible an LMS should support a variety of course content and testing.,Optional,N/A,,
Information governance,1.6.8.,"You could ensure that any courses you use are available in standard, transferable formats.","Support for standard formats such as SCORM allows courses to be shared between providers.
This could help facilitate standardisation of training provision for TRE users across organisations.",Optional,N/A,,
Information governance,1.6.9.,You could keep historical copies of courses in order to demonstrate competency at a given point in time.,"Information asset owners and regulators may be required to audit historical records, *e.g.* for clinical trials.
It may be necessary to retain copies of superseded training along with versions of certifications within the training record.",Optional,N/A,,
Computing technology and Information Security,2.1.1.,You must not allow users to copy data out of your TRE via the system clipboard.,"A TRE user must not be able to copy sensitive data out of a workspace using the system clipboard.
A TRE may allow user to paste text into a workspace.
This might not be relevant to your TRE, for example if your user interface does not have a clipboard.",Mandatory,2,VDIs do not allow data to be copied out of the session using the clipboard,
Computing technology and Information Security,2.1.2.,Your TRE workspace should provide an environment familiar to your users.,"This may take the form of a virtual Windows or Linux desktops, non-desktop interfaces such as JupyterLab and other web applications, or a terminal.
Bespoke TRE-specific software should be avoided when widely used alternatives already exist.",Recommended,2,"Virtual Desktops are Ubuntu with Jupyter Notebooks (bash, Python, R), RStudio, DBeaver (database access for Postgresql) and LibreOffice as the core software stack.",
Computing technology and Information Security,2.1.3.,A TRE could restrict data access from data consumers entirely and provide an interface for submitting code.,"For example, you might use a system where users submit jobs that run over the data and return results without allowing direct data access.",Optional,N/A,,
Computing technology and Information Security,2.1.4.,Your TRE should be accessed via a user interface accessible using commonly available applications.,"TREs which allow users to connect from their own devices should not require the installation of any bespoke TRE application on the user’s device.
In practice a web browser is the most common way to achieve this.",Recommended,2,"Virtual Desktop can be opened in a new browser tab.
Option to download DCV client app (user space) and use this to access Virtual Desktop for a cleaner exerience.",
Computing technology and Information Security,2.1.5.,Your TRE must provide clear guidance on how to use software tools and work with data in the TRE.,"TREs that provide a virtual desktop environment for data consumers to work in should provide documentation detailing the available tools.
TREs where the analysis code is developed on the access machine (as oppose to within the TRE) should provide documentation detailing the mechanism by which code is submitted to the TRE.",Mandatory,2,"Documentation in place for basic usage of platform, tools and local database access.  Airlock documentation for initiating ingress and egress of data or code is available.  All documentation is available via the service portal in a Knowledgebase managed under Confluence.",
Computing technology and Information Security,2.1.6.,"Your TRE should, where possible, automatically apply security related updates for user software.",Reducing the risk of exploitable vulnerabilities in installed software will increase the security of your TRE.,Recommended,1,"Regular updates to software stack, often linked to RES upgrade process.",
Computing technology and Information Security,2.1.7.,Your TRE could provide shared services that are accessible to users in the same project.,"This may include shared file storage, databases, collaborative writing, and other web applications.
This must only be shared amongst users within the same project.",Optional,1,"RES has a common readwrite/shared folder common to all users in a project.  Users also have private storage.  LibreOffice is available for development of documents within the project space.  A git based code repoistory can be made available for all projects, alongside any repositories that have been ingressed.

Shared project databases are on roadmap.",
Computing technology and Information Security,2.1.8,Your TRE must ensure that any shared services are only available to users working on the same project.,"Poorly designed shared services could enable the unintended mixing of data between projects.
To prevent this it is necessary that each instance is only shared between users of a single project.",Mandatory,2,"All data and infrastructure for a project has a dedicated security group and encryption key.  VDI sessions are specific to project, user ""home"" is specific to research project.  Shared space for all users of a project is limited to the project boundary.",
Computing technology and Information Security,2.1.9.,You must mitigate and record any risks introduced by the use in your TRE of software that requires telemetry to function.,"For example, some licenced commercial software must contact an external licensing server at start-up.
You must be confident that only licensing information is sent to this server and that any network connections are secure.",Mandatory,2,Needs for external licencing will be assessed on a case by case basis.  Default stance of platform is to block all internet access.,
Computing technology and Information Security,2.1.10.,Your TRE must provide software applications that are relevant to working with the data in the TRE.,"The tools provided will depend on the types of data in the TRE, and the expectations of users of the TRE.
For users working in a TRE via a virtual desktop, this may include programming languages such as Python and R, integrated development environments, Jupyter notebooks, office type applications such as word processors and spreadsheets, command line tools, etc.
TREs with non-desktop interfaces should similarly consider carefully which applications are best suited for the data consumers needs when interacting with the data, for example “point and click” GUI tools for querying a database and generating plots of data.
The set of tools should be reviewed regularly to ensure they are up to date.",Mandatory,2,"Programming languages: Python, R, bash scripting in system and Jupyter terminals
Jupyter Lab and Rstudio apps
Libre Office apps
Instance specific Postgres DB & DBeaver",
Computing technology and Information Security,2.1.11.,Your TRE should provide tools to encourage best-practice in reproducibly analysing data.,"Reproducibility of analyses improves auditability and accountability of how data has been used, as well as being best-practice in research.
This may include version control software, and tools for developing and running data analysis pipelines.",Recommended,1,Preparation of data is via code repository paired with code pipelines.  No ETL is able to move to research environment without a specific linked commit and pipeline execution.  Researchers are provided with git tooling and ability to work with local pipeline tools such as Nextflow based on project requirements.,
Computing technology and Information Security,2.1.12.,Your TRE could provide access to some public software repositories or container registries.,"For example, a TRE may allow direct installation of packages from Python or R repositories, or provide an internal mirror.",Optional,1,"Internal CRAN mirror, no direct access to public R repositories.  PyPI artifact repository for pull through access to packages with ability to block specific packages.  Minimises disruption to researcher when adding packages.",
Computing technology and Information Security,2.1.13.,Your TRE could tightly control which packages are available.,"For example, a TRE may only allow installation of a pre-defined set of approved packages.
You might also choose to scan for malicious packages and/or go through an approval process before allowing code into the technical environment.",Optional,2,"Changes to system level packages (admin permissions) are limited to administrative build of a software-stack following review of risk.  Items outside of CRAN/PyPI require the same process.  Use of tooling held in ""resercher"" code repositories requires high level review and approval for pull into the environment, including virus/vunerability scanning.",
Computing technology and Information Security,2.1.14.,Your TRE must maintain segregation of users and data from different projects when using non-standard compute.,"High performance or specialist compute is often shared amongst multiple users.
Users and data must remain segregated at all times.
For example, when using physical compute resources, all sensitive data could be securely wiped before another user is given access to that same node.
In a cloud hosted TRE virtual machines could be destroyed and recreated.",Mandatory,2,"No HPC facility at this time, GPU can be made available, but distinct to project.",
Computing technology and Information Security,2.1.15.,Your TRE should be able to provide access to high performance computing or other scalable compute resource if required by users.,"If a TRE supports users conducting computationally intensive research it should provide access to dynamically scalable compute or the equivalent.
For example this may be in the form of a batch scheduler on a HPC cluster, or a dynamically created compute nodes on a cloud platform.",Recommended,0,Future aspiration,
Computing technology and Information Security,2.1.16.,Your TRE should be able to provide access to accelerators such as GPUs if required by users.,"GPUs and other accelerators are commonly used in machine learning and other computationally intensive research.
TREs should make it clear to users whether GPUs and other resources are available whilst projects are being assessed.",Recommended,1,GPUs can be authorised for a project on case by case need.,
Computing technology and Information Security,2.1.17.,"Your TRE could make data available to data consumers using common database systems such as PostgreSQL, MSSQL or MongoDB.","Databases must be secured and only accessible to users within the same project.
If shared (multi-tenant) database servers are used, database administrators must ensure that the database server enforces segregation of users and databases belonging to different projects.",Optional,1,Postgresql database is available for self admin on VDI instance (user & project specific). Working towards shared instance within project.,
Computing technology and Information Security,2.1.18.,Your TRE could integrate with large-scale data analytics tools for working with large datasets.,"For example, Spark and Hadoop can be used for distributed computing across a cluster.
This may be an advantage where a TRE is using an amount of data that is too large for single-machine computing to be practical.",Optional,N/A,No Big data frameworks available,
Computing technology and Information Security,2.2.1.,You must have a documented procedure for deploying infrastructure.,"This might, for instance, be a handbook that is followed or a set of automated scripts.",Mandatory,2,Infrastructure is deployed by using IaC.  Project specific infrastructure is driven by project configuration triggering pipelines to apply changes.  Where IaC is triggered manually detailed documentation is in place.,
Computing technology and Information Security,2.2.2.,"You should, where possible, automate any repeatable aspects of your deployment.",This might involve using infrastructure-as-code tools or a series of scripts.,Recommended,2,We have made a significant investiment in use of IaC and deployment pipelines,
Computing technology and Information Security,2.2.3.,You must have a documented procedure for making changes to deployed infrastructure.,"This refers both to changes that might be expected in the course of normal operation and emergency changes that might be needed.
Your change management process may form part of a wider accreditation such as ISO 27001.",Mandatory,2,Changes to deployed infrastrucutre is via IaC and code pipelines.  Changes have enforced review and approval requirements along with branch protection.  Updates to research project use cases and membership have change control via the DAC process.  We have ISO27001 certification which will monitor our adherance to this.,
Computing technology and Information Security,2.2.4.,You must test changes before they are used in production.,This might involve a separate development environment or another system for testing.,Mandatory,2,"We have a 4 tier deployment, Dev (minimal retrictions), Test, Stage and Production",
Computing technology and Information Security,2.2.5.,You should have a development environment that mirrors your production environment which you use to test infrastructure changes before committing them to production.,"If possible, you should automate application of changes between development and production environments.
Consider the costs and practicality of whether this will work for your situation.",Recommended,2,Change to deployments is via merging of code into relevant deployment branches and code pipeline deployment.  Merge requires review/approval for each stage of propogation dev->test->stage->production,
Computing technology and Information Security,2.2.6.,You must have a documented procedure for removing infrastructure when it is no longer needed.,Removing unused infrastructure not only reduces costs and management burden but also reduces the attack surface of a TRE and reduces the risk of unaddressed vulnerabilities.,Mandatory,2,"Close down of project infrastructure follows a documented and semi-automated process.  Elements of infrastructure for a project can be removed at different stages of lifecycle. E.g. data-landing-zone for source data can be closed once data trasferred by modifying a flag in project entry, enhancing security of platform.",
Computing technology and Information Security,2.2.7.,You should understand the availability and uptime guarantees of any providers that you rely on.,"For remote TREs this might include your cloud provider(s) and/or data centre operators.
For on-premises TREs, it might be worth using an uninterruptable power supply (UPS) and planning how you would deal with internet outages.",Recommended,2,AWS provide significant information of the availability of systems via the AWS Artifact service.  Critical components such as object storage have 99.99% availability and eleven 9s durability.,
Computing technology and Information Security,2.2.8.,You should develop an availability target or statement and share this with your users.,Understanding how and when the TRE might be unavailable will help your projects in planning their work.,Recommended,1,The SDE provides a business hours best efforts support framework.  This is clearly laid out in the terms of use.,
Computing technology and Information Security,2.2.9.,Your TRE must control and manage all of its network infrastructure in order to protect information in systems and applications.,"Network infrastructure must prevent unauthorised access to resources on the network.
This may include firewalls, network segmentation, and restricting connections to the network.",Mandatory,2,"The platform utalises a multi account and network segregation model to manage high level data classifications
* Data Landing Zone - drop off of data, to be scanned and validated against encrypted checksum and manifest
* Data Intergration Platform - Successful data from DLZ ready for any ETL or other manipulation.
* Project Research Environment - Research ready data.

Within each area data is further segregated by security group at the project level.

The overal network security stance is managed by IaC under the AWS Landing Zone Accellerator - A foundational compliance framework incourporating controls as defined by NCSC.",
Computing technology and Information Security,2.2.10.,"Your TRE must not allow connectivity between users in different projects, or with access to different datasets.","Connectivity between users in the same project may be allowed, for example to support shared network services within the project.",Mandatory,2,"The research space is segregated by project.  A researcher with access to two projects is not able to access data from both symultaniously.  Home directories are segregated by project also.  Researchers within the same project are not able to access each others VDI sessions, but can share data through a shared drive to facilitate collaboration.",
Computing technology and Information Security,2.2.11.,Your TRE must block outbound connections to the internet by default.,Limited outbound connectivity may be allowed for some services.,Mandatory,2,All outbound connections are heavily restricted.  Limited routes are available to support authentication requirements for the airlock application.,
Computing technology and Information Security,2.2.12.,You should be able to monitor the network configuration of your TRE to check for misconfigurations and vulnerabilities.,"This may include regular vulnerability scanning, and penetration testing.",Recommended,2,"AWS Guard Duty and Security hub automatically flag potential issues.  S3 buckets have automatic remediation for SSL, but all reports are incorporated back into IaC.  Vunerability scanning of data is built into all data ingress processess.  We commit to annual penetration and vunerability testing as part of our commitments under ISO27001.",
Computing technology and Information Security,2.2.13.,You should regularly monitor the network configuration of your TRE to check for misconfigurations and vulnerabilities.,This will involve following the monitoring procedure detailed above.,Recommended,2,AWS Guard Duty and Security hub are active systems which feed into our service delivery platform for events triggered.,
Computing technology and Information Security,2.2.14.,Your TRE must record usage data.,"This may include the number of users, number of projects, the amount of data stored, number of datasets, the number of workspaces, etc.",Mandatory,2,"Users, projects and workspaces are embedded in our project configuration database.  We are able to generate ""data volume"" outputs for various states.  The EoE SDE is a data mesh and primarily stores project specific datasets formed for a specific limited purpose.  Static datasets are tracked by the wider SDE team.",
Computing technology and Information Security,2.2.15.,"Your TRE should record which datasets are accessed, when and by who.",This helps maintain auditability of how sensitive data has been used.,Recommended,2,"This is embedded in our project configuration database, as well as a public data user register.",
Computing technology and Information Security,2.2.16.,Your TRE should record computational resource usage at the user or aggregate level.,"This is useful for optimising allocation of resources, and managing costs.",Recommended,2,"All resources available to the project space are associated with configurable budgets, additionally we are able to drill into any project costs down to the individual service level, e.g. S3 storage or compute costs.",
Computing technology and Information Security,2.3.1.,You must ensure that all projects understand what resources are available and what the associated costs will be before the project starts.,"For on-premises systems this might be related to the available hardware, for cloud-based systems there might be limits on how many instances of a particular resource (*e.g.* GPUs) can be used
Projects should use this information to understand whether the available resources will be sufficient for their requirements.",Mandatory,2,"Applicants are advised as to the costs associated with the compute and storage based on a described use pattern.  The EoE SDE operates on an on-demand basis with users able to stop, start and resize instances (within limits) to minimise costs.  Additionally the agreed budget is tracked (monthy & total spend) with automatic notifications to nominated members.",
Computing technology and Information Security,2.3.2.,You should ensure that the anticipated needs of projects can be satisfied using available resources.,"Note that this does not require you to accept requests for additional resources, but rather that promises made about resource availability before a project starts should be honoured wherever possible.",Recommended,2,All projects undergo a technical feasibility process prior to any data applications been made.,
Computing technology and Information Security,2.3.3.,You must have a procedure for allocating available resources among projects.,"For cloud-based TREs this may involve scaling resources, such as virtual machines or databases, or deploying additional resources.
For on-premises TREs this may involve a procurement process to ensure that necessary resources are available.
Not all requests for capacity increase must necessarily be granted, but having a clear process will help projects understand when/why/how they can make use of additional capacity.",Mandatory,2,"The EoE-SDE operates on an on-demand basis, researchers are able to initiate instances provided they do not exceed defined budget constraints (controlled in platform).  Persistent storage in the research space is elastic.

All support querys are routed through a Service Delivery Portal for assessment.",
Computing technology and Information Security,2.3.4.,You must ensure that the anticipated resource requirements will not result in overspending by the TRE.,"For cloud-based TREs this may involve budgeting and/or restricting resource consumption on a project-by-project basis.
For on-premises TREs this may involve managing expectations to match the available resource.",Mandatory,2,All projects have a budget attached with automated reporting of utalisation.  The SDE as a whole has a monthly budget notification.  High level SDE costs are presented on a weekly basis.  The platform also reports detection of cost anomaly events (sudden increase in traffic or storage costs) into our service delivery platform as an early warning.,
Computing technology and Information Security,2.4.1.,You must have a documented procedure for configuring infrastructure.,"This might, for instance, be a handbook that is followed or a set of automated scripts.",Mandatory,2,"All long term infrastructure (core or project) is managed by Infrastructure as Code paired with design, deployment and modification guidance documentation.  Changes follow a code and security review then sign off process.",
Computing technology and Information Security,2.4.2.,You should use configuration management tools to automate application of your configuration wherever possible.,"This might involve configuration-as-code tools such as Ansible, Chef, Puppet or Windows Desired State Configuration or simply automated scripts.",Recommended,1,"Infrastructure is IaC, working towards automation of VDI software stack builds.",
Computing technology and Information Security,2.4.3.,You should be able to verify whether the configuration is valid.,"This might, for instance, involve running your configuration management tool in ‘check’ mode.",Recommended,2,"All IaC deployment pipelines include ""dry-run"" and approval stages.",
Computing technology and Information Security,2.4.4.,You should regularly verify your TRE configuration.,This will limit the amount of time the TRE can spend in a non-compliant state.,Recommended,1,"Methods exist, but not regular in nature.  Project deployment stack validates all projects on each execution.  IaC stacks can be triggered to highlight drift from intended states.  Access controls prevent manual manipulation of network level configuration only possible via IaC deployment pipeline.",
Computing technology and Information Security,2.4.5.,You must be able to replace a non-compliant TRE with a compliant system.,This might involve reconfiguring a running system or by replacing it with a compliant one.,Mandatory,2,A project environment can be restored to a compliant state by re-executing the deployment pipeline.  Ability to modify a project environment is heavily restricted in production.,
Computing technology and Information Security,2.5.1.,"You should keep backups of data and research environments, provided that this is permitted by law.","Keeping backups could help reduce the impact of events like accidental deletion and data corruption on work in a TRE.
TRE developers may want to consider how different elements such as sensitive input data or users’ workspaces may be backed up, and whether they should be.",Recommended,2,Data in object store is versioned.  Shared data and home directories are protected by snapshots.  All are encrypted under the project keys.  Retention periods are agreed by the DAC process and embeded in the project setup configuration.,
Computing technology and Information Security,2.5.2.,You should build redundancy into infrastructure and storage.,"Infrastructure should be as resilient as necessary to interruption.
This could include redundant infrastructure in different physical locations, load balancing and replication of data between multiple storage locations.",Recommended,2,"Infrastructure benefits from a 2 availabilty-zone depoyment, multi-region is not possible due to data residency limitations.  Some core elements require a switch over phase.  A VDI session is not resilient, however the underlying data storage (shared/home) is.  All persistent data for the wider platform is highly resilient and durable.",
Computing technology and Information Security,2.5.3.,"You should keep backups of infrastructure, applications and configurations.",This may include virtualised infrastructure snapshots which can restored as needed to recover from failure.,Recommended,1,All infrastructure as code and configuration is held in a code repository or data repository.  Project level configuration is in need of formal back up process. Some risk outstanding with manual configuration of EntraID.,
